comentario;sentimiento
es el mejor profesor del mundo;positivo
muy regular el profesor;negativo
El profesor no hace nada;negativo
muy bueno;positivo
El profesor  peor es nada;negativo
Cuando terminara ese profesor;negativo
es bueno el profesor;positivo
la profesora siempre llega tarde;negativo
no explica nada ;negativo
nos trata muy irrespetuoso;negativo
explica muy bien;positivo
tiene mucha paciencia;positivo
los examenes son muy dificiles;negativo
debería explicar mejor;negativo
no me enseña nada;negativo
es irrespetuoso en clase;negativo
es muy amable y educado;positivo
todo muy bien;positivo
 me enseña mucho;positivo
 ha mejorado muchas cosas el profesor;positivo
 es muy muy bueno;positivo
